INFO:root:Namespace(lr=0.0002, seed=123, weight_decay=0.0005, hidden=2, n_img=50, dropout=0.1, epochs=500, k=5000, celeba=False, maxq=5000, method='HSJA', layers=16, alpha=0.0, T=0.0002, delta=0.8, model='resnet', r=3, iteration=8, init=100, bf=False, time=False, ntime=False, disable_logging=False, num_images=50, start_idx=0, log_dir=None, bright=False, adap_c=False, eps=0.1, nosalt=False, random_init=False, no_hash=False, accurate=False, theta_min=1.7e-05, config='configs/imagenet/blacklight/hsja/targeted/adaptive/config.json', data='imagenet', defense='DPF', attack='dbagp', untargeted=False, normal=False)
INFO:root:Namespace(lr=0.0002, seed=123, weight_decay=0.0005, hidden=2, n_img=50, dropout=0.1, epochs=500, k=5000, celeba=False, maxq=5000, method='QEBA', layers=16, alpha=0.0, T=0.0002, delta=0.8, model='resnet', r=3, iteration=8, init=100, bf=False, time=False, ntime=False, disable_logging=False, num_images=50, start_idx=0, log_dir=None, bright=False, adap_c=False, eps=0.1, nosalt=False, random_init=False, no_hash=False, accurate=False, theta_min=1.7e-05, config='configs/imagenet/blacklight/hsja/targeted/adaptive/config.json', data='imagenet', defense='DPF', attack='dbagp', untargeted=False, normal=False)
INFO:root:{'threshold': 0.5, 'add_cache_hit': True, 'reset_cache_on_hit': False, 'aggregation': 'closest', 'action': 'rejection', 'precision': None, 'state': {'type': 'blacklight', 'window_size': 50, 'num_hashes_keep': 50, 'round': 50, 'step_size': 25, 'num_processes': 5, 'input_shape': [3, 224, 224], 'salt': True}, 'architecture': 'resnet152', 'dataset': 'imagenet'}
INFO:root:{'threshold': 0.5, 'add_cache_hit': True, 'reset_cache_on_hit': False, 'aggregation': 'closest', 'action': 'rejection', 'precision': None, 'state': {'type': 'blacklight', 'window_size': 50, 'num_hashes_keep': 50, 'round': 50, 'step_size': 25, 'num_processes': 5, 'input_shape': [3, 224, 224], 'salt': True}, 'architecture': 'resnet152', 'dataset': 'imagenet'}
INFO:root:{'attack': 'HSJA', 'targeted': True, 'max_iter': 99999999, 'eps': 0.005, 'num_dirs': 100, 'max_num_dirs': 10000, 'budget': 100000, 'adaptive': {'query_blinding_transform': None, 'bs_boundary_end_on_hit': False, 'grad_max_attempts': 20, 'bs_grad_var': True, 'bs_grad_var_steps': 10, 'bs_grad_var_sample_size': 20, 'bs_grad_var_hit_rate': 0.05, 'bs_grad_var_upper': 5, 'bs_grad_var_lower': 1.5, 'grad_est_accept_partial': True, 'step_max_attempts': 5}}
INFO:root:{'attack': 'HSJA', 'targeted': True, 'max_iter': 99999999, 'eps': 0.005, 'num_dirs': 100, 'max_num_dirs': 10000, 'budget': 100000, 'adaptive': {'query_blinding_transform': None, 'bs_boundary_end_on_hit': False, 'grad_max_attempts': 20, 'bs_grad_var': True, 'bs_grad_var_steps': 10, 'bs_grad_var_sample_size': 20, 'bs_grad_var_hit_rate': 0.05, 'bs_grad_var_upper': 5, 'bs_grad_var_lower': 1.5, 'grad_est_accept_partial': True, 'step_max_attempts': 5}}
INFO:root:Namespace(lr=0.0002, seed=123, weight_decay=0.0005, hidden=2, n_img=50, dropout=0.1, epochs=500, k=5000, celeba=False, maxq=5000, method='GP', layers=16, alpha=0.0, T=0.0002, delta=0.8, model='resnet', r=3, iteration=8, init=100, bf=False, time=False, ntime=False, disable_logging=False, num_images=50, start_idx=0, log_dir=None, bright=False, adap_c=False, eps=0.1, nosalt=False, random_init=False, no_hash=False, accurate=False, theta_min=1.7e-05, config='configs/imagenet/blacklight/hsja/targeted/adaptive/config.json', data='imagenet', defense='DPF', attack='dbagp', untargeted=False, normal=False)
INFO:root:{'threshold': 0.5, 'add_cache_hit': True, 'reset_cache_on_hit': False, 'aggregation': 'closest', 'action': 'rejection', 'precision': None, 'state': {'type': 'blacklight', 'window_size': 50, 'num_hashes_keep': 50, 'round': 50, 'step_size': 25, 'num_processes': 5, 'input_shape': [3, 224, 224], 'salt': True}, 'architecture': 'resnet152', 'dataset': 'imagenet'}
INFO:root:{'attack': 'HSJA', 'targeted': True, 'max_iter': 99999999, 'eps': 0.005, 'num_dirs': 100, 'max_num_dirs': 10000, 'budget': 100000, 'adaptive': {'query_blinding_transform': None, 'bs_boundary_end_on_hit': False, 'grad_max_attempts': 20, 'bs_grad_var': True, 'bs_grad_var_steps': 10, 'bs_grad_var_sample_size': 20, 'bs_grad_var_hit_rate': 0.05, 'bs_grad_var_upper': 5, 'bs_grad_var_lower': 1.5, 'grad_est_accept_partial': True, 'step_max_attempts': 5}}
INFO:root:True Label : 254 | Predicted Label : 255 | Cache Hits / Total Queries : 55 / 1056
INFO:root:True Label : 543 | Predicted Label : 286 | Cache Hits / Total Queries : 74 / 1403
INFO:root:True Label : 254 | Predicted Label : 255 | Cache Hits / Total Queries : 108 / 3104
INFO:root:True Label : 254 | Predicted Label : 255 | Cache Hits / Total Queries : 1352 / 2555
INFO:root:True Label : 866 | Predicted Label : 111 | Cache Hits / Total Queries : 243 / 5008
INFO:root:True Label : 543 | Predicted Label : 286 | Cache Hits / Total Queries : 398 / 3249
INFO:root:True Label : 543 | Predicted Label : 286 | Cache Hits / Total Queries : 139 / 5725
INFO:root:True Label : 147 | Predicted Label : 815 | Cache Hits / Total Queries : 217 / 5406
INFO:root:True Label : 866 | Predicted Label : 111 | Cache Hits / Total Queries : 691 / 5067
INFO:root:True Label : 866 | Predicted Label : 111 | Cache Hits / Total Queries : 1244 / 5251
INFO:root:True Label : 420 | Predicted Label : 389 | Cache Hits / Total Queries : 386 / 5174
INFO:root:True Label : 147 | Predicted Label : 815 | Cache Hits / Total Queries : 200 / 5411
INFO:root:True Label : 519 | Predicted Label : 249 | Cache Hits / Total Queries : 197 / 5421
INFO:root:True Label : 420 | Predicted Label : 389 | Cache Hits / Total Queries : 289 / 5069
INFO:root:True Label : 147 | Predicted Label : 815 | Cache Hits / Total Queries : 6125 / 6945
INFO:root:True Label : 302 | Predicted Label : 490 | Cache Hits / Total Queries : 270 / 5049
INFO:root:True Label : 420 | Predicted Label : 389 | Cache Hits / Total Queries : 768 / 2976
INFO:root:True Label : 519 | Predicted Label : 249 | Cache Hits / Total Queries : 118 / 5328
INFO:root:True Label : 16 | Predicted Label : 953 | Cache Hits / Total Queries : 201 / 5392
INFO:root:True Label : 302 | Predicted Label : 490 | Cache Hits / Total Queries : 127 / 5319
INFO:root:True Label : 519 | Predicted Label : 249 | Cache Hits / Total Queries : 870 / 5262
INFO:root:True Label : 545 | Predicted Label : 889 | Cache Hits / Total Queries : 96 / 5290
INFO:root:True Label : 16 | Predicted Label : 953 | Cache Hits / Total Queries : 82 / 5287
INFO:root:True Label : 437 | Predicted Label : 172 | Cache Hits / Total Queries : 218 / 2736
INFO:root:True Label : 954 | Predicted Label : 709 | Cache Hits / Total Queries : 110 / 1713
INFO:root:True Label : 302 | Predicted Label : 490 | Cache Hits / Total Queries : 1786 / 5368
INFO:root:True Label : 545 | Predicted Label : 889 | Cache Hits / Total Queries : 65 / 5252
INFO:root:True Label : 384 | Predicted Label : 929 | Cache Hits / Total Queries : 275 / 5074
INFO:root:True Label : 437 | Predicted Label : 172 | Cache Hits / Total Queries : 61 / 3268
INFO:root:True Label : 689 | Predicted Label : 812 | Cache Hits / Total Queries : 197 / 5391
INFO:root:True Label : 954 | Predicted Label : 709 | Cache Hits / Total Queries : 216 / 4564
INFO:root:True Label : 16 | Predicted Label : 953 | Cache Hits / Total Queries : 4696 / 7044
INFO:root:True Label : 591 | Predicted Label : 224 | Cache Hits / Total Queries : 320 / 5090
INFO:root:True Label : 384 | Predicted Label : 929 | Cache Hits / Total Queries : 132 / 5352
INFO:root:True Label : 768 | Predicted Label : 346 | Cache Hits / Total Queries : 275 / 4644
INFO:root:True Label : 545 | Predicted Label : 889 | Cache Hits / Total Queries : 5421 / 6553
INFO:root:True Label : 689 | Predicted Label : 812 | Cache Hits / Total Queries : 219 / 5416
INFO:root:True Label : 707 | Predicted Label : 853 | Cache Hits / Total Queries : 307 / 5085
INFO:root:True Label : 437 | Predicted Label : 172 | Cache Hits / Total Queries : 351 / 1954
INFO:root:True Label : 954 | Predicted Label : 709 | Cache Hits / Total Queries : 343 / 1943
INFO:root:True Label : 35 | Predicted Label : 477 | Cache Hits / Total Queries : 294 / 5071
INFO:root:True Label : 591 | Predicted Label : 224 | Cache Hits / Total Queries : 220 / 5406
INFO:root:True Label : 67 | Predicted Label : 980 | Cache Hits / Total Queries : 353 / 5144
INFO:root:True Label : 384 | Predicted Label : 929 | Cache Hits / Total Queries : 1458 / 5060
INFO:root:True Label : 768 | Predicted Label : 346 | Cache Hits / Total Queries : 164 / 5353
INFO:root:True Label : 685 | Predicted Label : 934 | Cache Hits / Total Queries : 426 / 5199
INFO:root:True Label : 403 | Predicted Label : 437 | Cache Hits / Total Queries : 11 / 323
INFO:root:True Label : 707 | Predicted Label : 853 | Cache Hits / Total Queries : 223 / 5008
INFO:root:True Label : 689 | Predicted Label : 812 | Cache Hits / Total Queries : 1405 / 5004
INFO:root:True Label : 2 | Predicted Label : 235 | Cache Hits / Total Queries : 521 / 5298
INFO:root:True Label : 35 | Predicted Label : 477 | Cache Hits / Total Queries : 119 / 5323
INFO:root:True Label : 814 | Predicted Label : 117 | Cache Hits / Total Queries : 246 / 5020
INFO:root:True Label : 591 | Predicted Label : 224 | Cache Hits / Total Queries : 4036 / 6196
INFO:root:True Label : 67 | Predicted Label : 980 | Cache Hits / Total Queries : 151 / 5344
INFO:root:True Label : 513 | Predicted Label : 649 | Cache Hits / Total Queries : 228 / 5005
INFO:root:True Label : 685 | Predicted Label : 934 | Cache Hits / Total Queries : 237 / 5436
INFO:root:True Label : 768 | Predicted Label : 346 | Cache Hits / Total Queries : 647 / 5010
INFO:root:True Label : 403 | Predicted Label : 437 | Cache Hits / Total Queries : 7 / 318
INFO:root:True Label : 768 | Predicted Label : 444 | Cache Hits / Total Queries : 224 / 5400
INFO:root:True Label : 2 | Predicted Label : 235 | Cache Hits / Total Queries : 160 / 5349
INFO:root:True Label : 74 | Predicted Label : 399 | Cache Hits / Total Queries : 257 / 5429
INFO:root:True Label : 707 | Predicted Label : 853 | Cache Hits / Total Queries : 2972 / 5158
INFO:root:True Label : 814 | Predicted Label : 117 | Cache Hits / Total Queries : 192 / 5392
INFO:root:True Label : 114 | Predicted Label : 550 | Cache Hits / Total Queries : 201 / 5380
INFO:root:True Label : 35 | Predicted Label : 477 | Cache Hits / Total Queries : 1111 / 5098
INFO:root:True Label : 320 | Predicted Label : 479 | Cache Hits / Total Queries : 257 / 5037
INFO:root:True Label : 513 | Predicted Label : 649 | Cache Hits / Total Queries : 228 / 5416
INFO:root:True Label : 67 | Predicted Label : 980 | Cache Hits / Total Queries : 1081 / 5066
INFO:root:True Label : 169 | Predicted Label : 184 | Cache Hits / Total Queries : 372 / 5143
INFO:root:True Label : 742 | Predicted Label : 745 | Cache Hits / Total Queries : 7 / 322
INFO:root:True Label : 768 | Predicted Label : 444 | Cache Hits / Total Queries : 185 / 5366
INFO:root:True Label : 901 | Predicted Label : 471 | Cache Hits / Total Queries : 301 / 5054
INFO:root:True Label : 74 | Predicted Label : 399 | Cache Hits / Total Queries : 119 / 5317
INFO:root:True Label : 200 | Predicted Label : 621 | Cache Hits / Total Queries : 68 / 1952
INFO:root:True Label : 685 | Predicted Label : 934 | Cache Hits / Total Queries : 1684 / 5266
INFO:root:True Label : 403 | Predicted Label : 437 | Cache Hits / Total Queries : 8 / 319
INFO:root:True Label : 779 | Predicted Label : 895 | Cache Hits / Total Queries : 316 / 5097
INFO:root:True Label : 114 | Predicted Label : 550 | Cache Hits / Total Queries : 187 / 5365
INFO:root:True Label : 2 | Predicted Label : 235 | Cache Hits / Total Queries : 4342 / 5253
INFO:root:True Label : 754 | Predicted Label : 507 | Cache Hits / Total Queries : 234 / 5021
INFO:root:True Label : 320 | Predicted Label : 479 | Cache Hits / Total Queries : 194 / 5394
INFO:root:True Label : 999 | Predicted Label : 180 | Cache Hits / Total Queries : 40 / 1118
INFO:root:True Label : 814 | Predicted Label : 117 | Cache Hits / Total Queries : 2353 / 5949
INFO:root:True Label : 651 | Predicted Label : 500 | Cache Hits / Total Queries : 245 / 5014
INFO:root:True Label : 169 | Predicted Label : 184 | Cache Hits / Total Queries : 127 / 5316
INFO:root:True Label : 742 | Predicted Label : 745 | Cache Hits / Total Queries : 5 / 319
INFO:root:True Label : 611 | Predicted Label : 651 | Cache Hits / Total Queries : 148 / 5350
INFO:root:True Label : 514 | Predicted Label : 943 | Cache Hits / Total Queries : 12 / 655
