INFO:root:Namespace(lr=0.0002, seed=123, weight_decay=0.0005, hidden=2, n_img=50, dropout=0.1, epochs=500, k=5000, celeba=False, maxq=5000, method='HSJA', layers=16, alpha=0.0, T=0.0002, delta=0.8, model='resnet', r=3, iteration=8, init=100, bf=False, time=False, ntime=False, disable_logging=False, num_images=50, start_idx=0, log_dir=None, bright=False, adap_c=False, eps=0.1, nosalt=False, random_init=False, no_hash=False, accurate=False, theta_min=1.7e-05, config='configs/imagenet/piha/hsja/targeted/adaptive/config.json', data='imagenet', defense='DPF', attack='dbagp', untargeted=False, normal=False)
INFO:root:{'threshold': 0.05, 'add_cache_hit': True, 'reset_cache_on_hit': False, 'aggregation': 'closest', 'action': 'rejection', 'precision': None, 'state': {'type': 'PIHA', 'block_size': 7, 'input_shape': [3, 224, 224]}, 'architecture': 'resnet152', 'dataset': 'imagenet'}
INFO:root:{'attack': 'HSJA', 'targeted': True, 'max_iter': 99999999, 'eps': 0.05, 'num_dirs': 100, 'max_num_dirs': 10000, 'budget': 100000, 'adaptive': {'query_blinding_transform': None, 'bs_boundary_end_on_hit': False, 'grad_max_attempts': 20, 'bs_grad_var': True, 'bs_grad_var_steps': 10, 'bs_grad_var_sample_size': 20, 'bs_grad_var_hit_rate': 0.05, 'bs_grad_var_upper': 5, 'bs_grad_var_lower': 1.5, 'grad_est_accept_partial': True, 'step_max_attempts': 5}}
INFO:root:Namespace(lr=0.0002, seed=123, weight_decay=0.0005, hidden=2, n_img=50, dropout=0.1, epochs=500, k=5000, celeba=False, maxq=5000, method='QEBA', layers=16, alpha=0.0, T=0.0002, delta=0.8, model='resnet', r=3, iteration=8, init=100, bf=False, time=False, ntime=False, disable_logging=False, num_images=50, start_idx=0, log_dir=None, bright=False, adap_c=False, eps=0.1, nosalt=False, random_init=False, no_hash=False, accurate=False, theta_min=1.7e-05, config='configs/imagenet/piha/hsja/targeted/adaptive/config.json', data='imagenet', defense='DPF', attack='dbagp', untargeted=False, normal=False)
INFO:root:{'threshold': 0.05, 'add_cache_hit': True, 'reset_cache_on_hit': False, 'aggregation': 'closest', 'action': 'rejection', 'precision': None, 'state': {'type': 'PIHA', 'block_size': 7, 'input_shape': [3, 224, 224]}, 'architecture': 'resnet152', 'dataset': 'imagenet'}
INFO:root:{'attack': 'HSJA', 'targeted': True, 'max_iter': 99999999, 'eps': 0.05, 'num_dirs': 100, 'max_num_dirs': 10000, 'budget': 100000, 'adaptive': {'query_blinding_transform': None, 'bs_boundary_end_on_hit': False, 'grad_max_attempts': 20, 'bs_grad_var': True, 'bs_grad_var_steps': 10, 'bs_grad_var_sample_size': 20, 'bs_grad_var_hit_rate': 0.05, 'bs_grad_var_upper': 5, 'bs_grad_var_lower': 1.5, 'grad_est_accept_partial': True, 'step_max_attempts': 5}}
INFO:root:Namespace(lr=0.0002, seed=123, weight_decay=0.0005, hidden=2, n_img=50, dropout=0.1, epochs=500, k=5000, celeba=False, maxq=5000, method='GP', layers=16, alpha=0.0, T=0.0002, delta=0.8, model='resnet', r=3, iteration=8, init=100, bf=False, time=False, ntime=False, disable_logging=False, num_images=50, start_idx=0, log_dir=None, bright=False, adap_c=False, eps=0.1, nosalt=False, random_init=False, no_hash=False, accurate=False, theta_min=1.7e-05, config='configs/imagenet/piha/hsja/targeted/adaptive/config.json', data='imagenet', defense='DPF', attack='dbagp', untargeted=False, normal=False)
INFO:root:{'threshold': 0.05, 'add_cache_hit': True, 'reset_cache_on_hit': False, 'aggregation': 'closest', 'action': 'rejection', 'precision': None, 'state': {'type': 'PIHA', 'block_size': 7, 'input_shape': [3, 224, 224]}, 'architecture': 'resnet152', 'dataset': 'imagenet'}
INFO:root:{'attack': 'HSJA', 'targeted': True, 'max_iter': 99999999, 'eps': 0.05, 'num_dirs': 100, 'max_num_dirs': 10000, 'budget': 100000, 'adaptive': {'query_blinding_transform': None, 'bs_boundary_end_on_hit': False, 'grad_max_attempts': 20, 'bs_grad_var': True, 'bs_grad_var_steps': 10, 'bs_grad_var_sample_size': 20, 'bs_grad_var_hit_rate': 0.05, 'bs_grad_var_upper': 5, 'bs_grad_var_lower': 1.5, 'grad_est_accept_partial': True, 'step_max_attempts': 5}}
INFO:root:True Label : 254 | Predicted Label : 255 | Cache Hits / Total Queries : 6 / 1009
INFO:root:True Label : 543 | Predicted Label : 286 | Cache Hits / Total Queries : 8 / 1339
INFO:root:True Label : 254 | Predicted Label : 255 | Cache Hits / Total Queries : 13 / 3036
INFO:root:Namespace(lr=0.0002, seed=123, weight_decay=0.0005, hidden=2, n_img=50, dropout=0.1, epochs=500, k=5000, celeba=False, maxq=5000, method='GP', layers=16, alpha=0.0, T=0.0002, delta=0.8, model='resnet', r=3, iteration=8, init=100, bf=False, time=False, ntime=False, disable_logging=False, num_images=50, start_idx=0, log_dir=None, bright=False, adap_c=False, eps=0.1, nosalt=False, random_init=False, no_hash=False, accurate=False, theta_min=1.7e-05, config='configs/imagenet/piha/hsja/targeted/adaptive/config.json', data='imagenet', defense='DPF', attack='dbagp', untargeted=False, normal=False)
INFO:root:{'threshold': 0.05, 'add_cache_hit': True, 'reset_cache_on_hit': False, 'aggregation': 'closest', 'action': 'rejection', 'precision': None, 'state': {'type': 'PIHA', 'block_size': 7, 'input_shape': [3, 224, 224]}, 'architecture': 'resnet152', 'dataset': 'imagenet'}
INFO:root:{'attack': 'HSJA', 'targeted': True, 'max_iter': 99999999, 'eps': 0.05, 'num_dirs': 100, 'max_num_dirs': 10000, 'budget': 100000, 'adaptive': {'query_blinding_transform': None, 'bs_boundary_end_on_hit': False, 'grad_max_attempts': 20, 'bs_grad_var': True, 'bs_grad_var_steps': 10, 'bs_grad_var_sample_size': 20, 'bs_grad_var_hit_rate': 0.05, 'bs_grad_var_upper': 5, 'bs_grad_var_lower': 1.5, 'grad_est_accept_partial': True, 'step_max_attempts': 5}}
INFO:root:True Label : 866 | Predicted Label : 111 | Cache Hits / Total Queries : 19 / 5190
INFO:root:True Label : 543 | Predicted Label : 286 | Cache Hits / Total Queries : 19 / 5204
INFO:root:True Label : 254 | Predicted Label : 255 | Cache Hits / Total Queries : 7 / 1245
INFO:root:True Label : 543 | Predicted Label : 286 | Cache Hits / Total Queries : 11 / 2211
INFO:root:True Label : 147 | Predicted Label : 815 | Cache Hits / Total Queries : 22 / 5171
INFO:root:True Label : 866 | Predicted Label : 111 | Cache Hits / Total Queries : 19 / 5227
INFO:root:True Label : 420 | Predicted Label : 389 | Cache Hits / Total Queries : 19 / 5218
INFO:root:True Label : 147 | Predicted Label : 815 | Cache Hits / Total Queries : 19 / 5187
INFO:root:True Label : 866 | Predicted Label : 111 | Cache Hits / Total Queries : 19 / 5245
INFO:root:True Label : 147 | Predicted Label : 815 | Cache Hits / Total Queries : 5 / 645
INFO:root:True Label : 519 | Predicted Label : 249 | Cache Hits / Total Queries : 19 / 5245
INFO:root:True Label : 420 | Predicted Label : 389 | Cache Hits / Total Queries : 17 / 4388
INFO:root:True Label : 420 | Predicted Label : 389 | Cache Hits / Total Queries : 14 / 3237
INFO:root:True Label : 302 | Predicted Label : 490 | Cache Hits / Total Queries : 19 / 5229
INFO:root:True Label : 519 | Predicted Label : 249 | Cache Hits / Total Queries : 19 / 5236
INFO:root:True Label : 16 | Predicted Label : 953 | Cache Hits / Total Queries : 19 / 5212
INFO:root:True Label : 519 | Predicted Label : 249 | Cache Hits / Total Queries : 19 / 5247
INFO:root:True Label : 302 | Predicted Label : 490 | Cache Hits / Total Queries : 19 / 5231
INFO:root:True Label : 545 | Predicted Label : 889 | Cache Hits / Total Queries : 19 / 5200
INFO:root:True Label : 437 | Predicted Label : 172 | Cache Hits / Total Queries : 11 / 2211
INFO:root:True Label : 16 | Predicted Label : 953 | Cache Hits / Total Queries : 19 / 5222
INFO:root:True Label : 954 | Predicted Label : 709 | Cache Hits / Total Queries : 10 / 1907
INFO:root:True Label : 302 | Predicted Label : 490 | Cache Hits / Total Queries : 19 / 5235
INFO:root:True Label : 384 | Predicted Label : 929 | Cache Hits / Total Queries : 19 / 5241
INFO:root:True Label : 545 | Predicted Label : 889 | Cache Hits / Total Queries : 19 / 5215
INFO:root:True Label : 437 | Predicted Label : 172 | Cache Hits / Total Queries : 14 / 3227
INFO:root:True Label : 689 | Predicted Label : 812 | Cache Hits / Total Queries : 20 / 5177
INFO:root:True Label : 954 | Predicted Label : 709 | Cache Hits / Total Queries : 12 / 2537
INFO:root:True Label : 16 | Predicted Label : 953 | Cache Hits / Total Queries : 19 / 5205
INFO:root:True Label : 591 | Predicted Label : 224 | Cache Hits / Total Queries : 19 / 5211
INFO:root:True Label : 384 | Predicted Label : 929 | Cache Hits / Total Queries : 19 / 5251
